Object designation,B-V (mag)
10115 1992SK,0.902
101955 Bennu,0.64
103067 1999XA143,0.92
12923 Zephyr,0.74
138095 2000DK79,0.77
141851 2002PM6,0.83
143651 2003QO104,0.9
144898 2004VD17,0.76
1566 Icarus,0.8
161989 Cacus,0.88
1620 Geographos,0.89
162998 2001SK162,0.82
163249 2002GT,0.924
163364 2002OD20,0.845
175706 1996FG3,0.7
185851 2000DP107,0.66
1862 Apollo,0.79
1981 Midas,0.97
199003 2005WJ56,0.81
2010GU21,0.71
2011HP,0.71
2012LZ1,0.73
2013RH74,0.79
2016FY3,0.78
214869 2007PA8,0.804
2201 Oljato,0.83
22753 1998WT,0.759
230111 2001BE10,0.81
23187 2000PN9,0.9
2340 Hathor,0.77
251346 2007SJ,0.81
25143 Itokawa,0.94
263976 2009KD5,0.8
267494 2002JB9,0.72
277475 2005WK4,0.67
285263 1998QE2,0.733
29075 1950DA,0.86
294739 2008CM,0.747
297274 1996SK,0.767
297418 2000SP43,0.8
308635 2005YU55,0.67
3200 Phaethon,0.67
329614 2003KU2,0.81
341843 2008EV5,0.72
349068 2006YT13,0.792
357439 2004BL86,0.95
363790 2005JE46,0.752
367248 2007MK13,0.7
374158 2004UL,0.82
374851 2006VV2,0.79
3757 Anagolay,0.85
385343 2002LV,0.72
388188 2006DP14,0.67
389694 2011QD48,0.855
399457 2002PD43,0.66
4015 Wilson-Harrington,0.66
4179 Toutatis,0.831
437844 1999MN,0.77
4450 Pan,0.806
4486 Mithra,0.81
467317 2000QW7,0.86
481532 2007LE,0.68
484976 2009UN3,0.77
490581 2009WZ104,0.65
494658 2000UG11,0.7
500080 2011WV134,0.786
524522 2002VE68,0.69
6491 1991OA,0.7
68216 2001CV26,0.963
7753 1988XB,0.675
85990 1999JV6,0.813
90075 2002VU94,0.777
99248 2001KY66,0.86
99942 Apophis,0.846
